PRECURSOR DRUG COMPOUND,ANALOGOUS DRUG COMPOUND
DEGARELIX,ACYLINE
DEGARELIX,SATEREOTIDE TETRAXETAN
DEGARELIX,CETRORELIX
DEGARELIX,GANIRELIX
ELIGARD (LEUPROLIDE ACETATE),DESLORELIN
ELIGARD (LEUPROLIDE ACETATE),NAFARELIN
ELIGARD (LEUPROLIDE ACETATE),GONADORELIN
ELIGARD (LEUPROLIDE ACETATE),AFAMELANOTIDE
ELIGARD (LEUPROLIDE ACETATE),ALSACTIDE
ELIGARD (LEUPROLIDE ACETATE),CZEN 202
ELIGARD (LEUPROLIDE ACETATE),MODIMELANOTIDE
ELIGARD (LEUPROLIDE ACETATE),TASPOGLUTIDE
ELIGARD (LEUPROLIDE ACETATE),TETRACOSACTIDE
ELIGARD (LEUPROLIDE ACETATE),BREMELANOTIDE
ELIGARD (LEUPROLIDE ACETATE),COTATDUTIDE
ELIGARD (LEUPROLIDE ACETATE),TRIDECTIDE
ELIGARD (LEUPROLIDE ACETATE),AMY-101
ELIGARD (LEUPROLIDE ACETATE),TRY-120027
ELIGARD (LEUPROLIDE ACETATE),ANGIOTENSINAMIDE
ELIGARD (LEUPROLIDE ACETATE),SEMAGLUTIDE 
ELIGARD (LEUPROLIDE ACETATE),ALBUVIRTIDE
ELIGARD (LEUPROLIDE ACETATE),ANGIOTENSIN 1-7
ELIGARD (LEUPROLIDE ACETATE),LIXISENATIDE
ELIGARD (LEUPROLIDE ACETATE),SETMELANOTIDE
ELIGARD (LEUPROLIDE ACETATE),SARALASIN
ELIGARD (LEUPROLIDE ACETATE),PRAMLINTIDE
ELIGARD (LEUPROLIDE ACETATE),MUREPAVADIN
FLUTAMIDE,(R)-3-BROMO-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE AND CANCER
GOSERELIN ACETATE,ANGIOTENSIN II
GOSERELIN ACETATE,ACLERASTIDE
LYNPARZA (OLAPARIB),"	4-[3-(1,4-diazepan-1-ylcarbonyl)-4-fluorobenzyl]phthalazin-1(2H)-one"
ORGOVYX (RELUGOLIX),SUFUGOLIX
ORGOVYX (RELUGOLIX),FIRSOCOSTAT
RADIUM 223 DICHLORIDE,"5,8-Di-Amino-1,4-Dihydroxy-Anthraquinone"
