,PRECURSOR DRUG COMPOUND,ANALOGOUS DRUG COMPOUND
0,DEGARELIX,ACYLINE
1,DEGARELIX,SATEREOTIDE TETRAXETAN
2,DEGARELIX,CETRORELIX
3,DEGARELIX,GANIRELIX
4,ELIGARD (LEUPROLIDE ACETATE),DESLORELIN
5,ELIGARD (LEUPROLIDE ACETATE),NAFARELIN
6,ELIGARD (LEUPROLIDE ACETATE),GONADORELIN
7,ELIGARD (LEUPROLIDE ACETATE),AFAMELANOTIDE
8,ELIGARD (LEUPROLIDE ACETATE),ALSACTIDE
9,ELIGARD (LEUPROLIDE ACETATE),CZEN 202
10,ELIGARD (LEUPROLIDE ACETATE),MODIMELANOTIDE
11,ELIGARD (LEUPROLIDE ACETATE),TASPOGLUTIDE
12,ELIGARD (LEUPROLIDE ACETATE),TETRACOSACTIDE
13,ELIGARD (LEUPROLIDE ACETATE),BREMELANOTIDE
14,ELIGARD (LEUPROLIDE ACETATE),COTATDUTIDE
15,ELIGARD (LEUPROLIDE ACETATE),TRIDECTIDE
16,ELIGARD (LEUPROLIDE ACETATE),AMY-101
17,ELIGARD (LEUPROLIDE ACETATE),TRY-120027
18,ELIGARD (LEUPROLIDE ACETATE),ANGIOTENSINAMIDE
19,ELIGARD (LEUPROLIDE ACETATE),SEMAGLUTIDE 
20,ELIGARD (LEUPROLIDE ACETATE),ALBUVIRTIDE
21,ELIGARD (LEUPROLIDE ACETATE),ANGIOTENSIN 1-7
22,ELIGARD (LEUPROLIDE ACETATE),LIXISENATIDE
23,ELIGARD (LEUPROLIDE ACETATE),SETMELANOTIDE
24,ELIGARD (LEUPROLIDE ACETATE),SARALASIN
25,ELIGARD (LEUPROLIDE ACETATE),PRAMLINTIDE
26,ELIGARD (LEUPROLIDE ACETATE),MUREPAVADIN
27,FLUTAMIDE,(R)-3-BROMO-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE AND CANCER
28,GOSERELIN ACETATE,ANGIOTENSIN II
29,GOSERELIN ACETATE,ACLERASTIDE
30,LYNPARZA (OLAPARIB),"	4-[3-(1,4-diazepan-1-ylcarbonyl)-4-fluorobenzyl]phthalazin-1(2H)-one"
31,ORGOVYX (RELUGOLIX),SUFUGOLIX
32,ORGOVYX (RELUGOLIX),FIRSOCOSTAT
33,RADIUM 223 DICHLORIDE,"5,8-Di-Amino-1,4-Dihydroxy-Anthraquinone"
