DRUG,DAN
Evista (Raloxifene Hydrochloride),DB00481
Raloxifene Hydrochloride,DB00481
Soltamox (Tamoxifen Citrate),DB00675
Tamoxifen Citrate,DB00676
Alkeran (Melphalan),DB01042
Avastin (Bevacizumab),DB00112
Bevacizumab,DB00112
Carboplatin,DB00958
Cisplatin,DB00515
Cyclophosphamide,DB00531
Doxorubicin Hydrochloride,DB00997
Doxil (Doxorubicin Hydrochloride Liposome),DB00998
Doxorubicin Hydrochloride Liposome,DB00997
Gemcitabine Hydrochloride,DB00441
Gemzar (Gemcitabine Hydrochloride),DB00441
Hycamtin (Topotecan Hydrochloride),DB01030
Infugem,DB00441
Lynparza (Olaparib),DB09074
Melphalan,DB01042
Niraparib Tosylate Monohydrate,DB11793
Olaparib,DB09074
Paclitaxel,DB01229
Paraplatin (Carboplatin),DB00958
Rubraca (Rucaparib Camsylate),"
DB12332"
Rucaparib Camsylate,DB12332
Tepadina (Thiotepa),DB04572
Thiotepa,DB04573
Topotecan Hydrochloride,DB01030
Zejula (Niraparib Tosylate Monohydrate),DB11793
Abraxane (Paclitaxel Albumin-stabilized Nanoparticle Formulation),DB01229
Afinitor (Everolimus),DB01590
Erlotinib Hydrochloride,DB00530
Everolimus,DB01590
5-FU (Fluorouracil Injection),DB00544
Fluorouracil Injection,DB00544
Gemcitabine Hydrochloride,DB00441
Gemzar (Gemcitabine Hydrochloride),DB00442
Infugem,DB00441
Irinotecan Hydrochloride Liposome,DB00762
Lynparza (Olaparib),DB09074
Mitomycin,DB00305
Olaparib,DB09074
Onivyde (Irinotecan Hydrochloride Liposome),DB00762
Paclitaxel Albumin-stabilized Nanoparticle Formulation,DB01229
Sunitinib Malate,DB01268
Sutent (Sunitinib Malate),DB01268
Tarceva (Erlotinib Hydrochloride),DB00530
Abiraterone Acetate,DB05812
Apalutamide,DB11901
Bicalutamide,DB01128
Cabazitaxel,DB06772
Casodex (Bicalutamide),DB01128
Darolutamide,DB12941
Degarelix,DB06699
Docetaxel,DB01248
Eligard (Leuprolide Acetate),DB00007
Enzalutamide,DB08899
Erleada (Apalutamide),DB11901
Firmagon (Degarelix),DB06699
Flutamide,DB00499
Goserelin Acetate,DB00014
Jevtana (Cabazitaxel),DB06772
Leuprolide Acetate,DB00007
Lupron Depot (Leuprolide Acetate),DB00008
Lynparza (Olaparib),DB09074
Mitoxantrone Hydrochloride,DB01204
Nilandron (Nilutamide),DB00665
Nilutamide,DB00665
Nubeqa (Darolutamide),DB12941
Olaparib,DB09074
Orgovyx (Relugolix),DB11853
Provenge (Sipuleucel-T),DB06688
Radium 223 Dichloride,DB08913
Relugolix,DB11853
Rubraca (Rucaparib Camsylate),DB12332
Rucaparib Camsylate,DB12332
Sipuleucel-T,DB06688
Taxotere (Docetaxel),DB01248
Xofigo (Radium 223 Dichloride),DB08913
Xtandi (Enzalutamide),DB08899
Yonsa (Abiraterone Acetate),DB05812
Zoladex (Goserelin Acetate),DB00014
Zytiga (Abiraterone Acetate),DB05812
